run_id,seed,response_time
0,42,53.0
0,42,44.0
0,42,24.0
0,42,48.0
0,42,45.0
0,42,14.0
0,42,19.0
0,42,12.0
0,42,14.0
0,42,55.0
0,42,14.0
0,42,21.0
0,42,15.0
0,42,12.0
0,42,27.0
0,42,35.0
0,42,22.0
0,42,25.0
0,42,62.0
0,42,20.0
0,42,17.0
0,42,17.0
0,42,25.0
0,42,40.0
0,42,43.0
0,42,45.0
0,42,43.0
0,42,53.0
0,42,16.0
0,42,40.0
0,42,21.0
0,42,40.0
0,42,28.0
0,42,32.0
0,42,25.0
0,42,27.0
0,42,14.0
0,42,23.0
0,42,30.0
0,42,20.0
0,42,16.0
0,42,27.0
0,42,23.0
0,42,15.0
0,42,42.0
0,42,22.0
0,42,18.0
0,42,19.0
0,42,33.0
0,42,25.0
0,42,16.0
0,42,16.0
0,42,22.0
0,42,25.0
0,42,27.0
0,42,14.0
0,42,33.0
0,42,11.0
0,42,27.0
0,42,17.0
0,42,19.0
0,42,12.0
0,42,21.0
0,42,17.0
0,42,25.0
0,42,39.0
0,42,30.0
0,42,25.0
0,42,18.0
0,42,22.0
0,42,14.0
0,42,17.0
0,42,20.0
0,42,19.0
0,42,19.0
0,42,16.0
0,42,28.0
0,42,37.0
0,42,14.0
0,42,18.0
0,42,14.0
0,42,16.0
0,42,18.0
0,42,47.0
0,42,22.0
0,42,36.0
0,42,36.0
0,42,22.0
0,42,29.0
0,42,34.0
0,42,16.0
0,42,19.0
0,42,24.0
0,42,18.0
0,42,13.0
0,42,27.0
0,42,17.0
0,42,11.0
0,42,19.0
0,42,31.0
0,42,22.0
0,42,22.0
0,42,44.0
0,42,34.0
0,42,45.0
0,42,21.0
0,42,22.0
0,42,24.0
0,42,16.0
0,42,33.0
0,42,19.0
0,42,14.0
0,42,22.0
0,42,30.0
0,42,25.0
0,42,38.0
0,42,53.0
0,42,25.0
0,42,33.0
0,42,34.0
0,42,23.0
0,42,29.0
0,42,22.0
0,42,23.0
0,42,26.0
0,42,16.0
0,42,21.0
0,42,19.0
0,42,15.0
0,42,13.0
0,42,17.0
0,42,30.0
0,42,20.0
0,42,38.0
0,42,44.0
0,42,25.0
0,42,17.0
0,42,30.0
0,42,30.0
0,42,17.0
0,42,25.0
0,42,16.0
0,42,26.0
0,42,34.0
0,42,28.0
0,42,17.0
0,42,24.0
0,42,19.0
0,42,18.0
0,42,20.0
0,42,19.0
0,42,19.0
0,42,32.0
0,42,33.0
0,42,24.0
0,42,11.0
0,42,34.0
0,42,40.0
0,42,15.0
0,42,26.0
0,42,32.0
0,42,41.0
0,42,16.0
0,42,23.0
0,42,15.0
0,42,18.0
0,42,27.0
0,42,25.0
0,42,20.0
0,42,21.0
0,42,19.0
0,42,22.0
0,42,14.0
0,42,14.0
0,42,17.0
0,42,14.0
0,42,36.0
0,42,40.0
0,42,41.0
0,42,48.0
0,42,19.0
0,42,30.0
0,42,20.0
0,42,22.0
0,42,41.0
0,42,16.0
0,42,23.0
0,42,29.0
0,42,13.0
0,42,39.0
0,42,21.0
0,42,24.0
0,42,18.0
0,42,23.0
0,42,25.0
0,42,33.0
0,42,35.0
0,42,29.0
0,42,24.0
0,42,14.0
0,42,21.0
0,42,25.0
0,42,21.0
0,42,21.0
0,42,24.0
0,42,20.0
0,42,21.0
0,42,19.0
0,42,23.0
0,42,23.0
0,42,20.0
0,42,24.0
0,42,55.0
0,42,23.0
0,42,16.0
0,42,23.0
0,42,25.0
0,42,36.0
0,42,36.0
0,42,50.0
0,42,25.0
0,42,21.0
0,42,41.0
0,42,40.0
0,42,27.0
0,42,36.0
0,42,27.0
0,42,41.0
0,42,30.0
0,42,23.0
0,42,33.0
0,42,25.0
0,42,12.0
0,42,30.0
0,42,31.0
0,42,15.0
0,42,18.0
0,42,31.0
0,42,20.0
0,42,27.0
0,42,20.0
0,42,25.0
0,42,43.0
0,42,36.0
0,42,22.0
0,42,12.0
0,42,23.0
0,42,34.0
0,42,13.0
0,42,19.0
0,42,34.0
0,42,11.0
0,42,24.0
0,42,25.0
0,42,19.0
0,42,19.0
0,42,18.0
0,42,31.0
0,42,27.0
0,42,30.0
0,42,14.0
0,42,16.0
0,42,32.0
0,42,27.0
0,42,23.0
0,42,23.0
0,42,31.0
0,42,20.0
0,42,29.0
0,42,24.0
0,42,12.0
0,42,14.0
0,42,17.0
0,42,37.0
0,42,17.0
0,42,12.0
0,42,27.0
0,42,17.0
0,42,43.0
0,42,43.0
0,42,30.0
0,42,28.0
0,42,37.0
0,42,35.0
0,42,43.0
0,42,27.0
0,42,44.0
0,42,45.0
0,42,19.0
0,42,29.0
0,42,18.0
0,42,36.0
0,42,43.0
0,42,20.0
0,42,59.0
0,42,41.0
0,42,32.0
0,42,24.0
0,42,34.0
0,42,25.0
0,42,19.0
0,42,50.0
0,42,64.0
0,42,25.0
0,42,31.0
0,42,22.0
0,42,29.0
0,42,54.0
0,42,26.0
0,42,24.0
0,42,68.0
0,42,48.0
0,42,49.0
0,42,29.0
0,42,50.0
0,42,22.0
0,42,43.0
0,42,54.0
0,42,77.0
0,42,29.0
0,42,40.0
0,42,27.0
0,42,36.0
0,42,14.0
0,42,30.0
0,42,22.0
0,42,18.0
0,42,13.0
0,42,23.0
0,42,20.0
0,42,19.0
0,42,36.0
0,42,20.0
0,42,27.0
0,42,37.0
0,42,32.0
0,42,23.0
0,42,18.0
0,42,21.0
0,42,15.0
0,42,19.0
0,42,17.0
0,42,21.0
0,42,15.0
0,42,22.0
0,42,32.0
0,42,38.0
0,42,21.0
0,42,23.0
0,42,31.0
0,42,17.0
0,42,12.0
0,42,33.0
0,42,11.0
0,42,48.0
0,42,28.0
0,42,13.0
0,42,14.0
0,42,30.0
0,42,17.0
0,42,15.0
0,42,20.0
0,42,28.0
0,42,21.0
0,42,44.0
0,42,47.0
0,42,20.0
0,42,60.0
0,42,16.0
0,42,65.0
0,42,21.0
0,42,38.0
0,42,34.0
0,42,64.0
0,42,30.0
0,42,19.0
0,42,18.0
0,42,27.0
0,42,30.0
0,42,31.0
0,42,50.0
0,42,68.0
0,42,30.0
0,42,29.0
0,42,66.0
0,42,21.0
0,42,49.0
0,42,13.0
0,42,40.0
0,42,11.0
0,42,39.0
0,42,25.0
0,42,31.0
0,42,28.0
0,42,39.0
0,42,24.0
0,42,39.0
0,42,49.0
0,42,26.0
0,42,46.0
0,42,37.0
0,42,36.0
0,42,69.0
0,42,53.0
0,42,69.0
0,42,56.0
0,42,56.0
0,42,69.0
0,42,68.0
0,42,74.0
0,42,59.0
0,42,71.0
0,42,56.0
0,42,82.0
0,42,66.0
0,42,65.0
0,42,80.0
0,42,84.0
0,42,78.0
0,42,61.0
0,42,65.0
0,42,69.0
0,42,49.0
0,42,83.0
0,42,59.0
0,42,64.0
0,42,75.0
0,42,80.0
0,42,91.0
0,42,99.0
0,42,107.0
0,42,105.0
0,42,115.0
0,42,118.0
0,42,90.0
0,42,119.0
0,42,79.0
0,42,131.0
0,42,104.0
0,42,99.0
0,42,82.0
0,42,94.0
0,42,91.0
0,42,95.0
0,42,100.0
0,42,107.0
0,42,103.0
0,42,116.0
0,42,112.0
0,42,113.0
0,42,112.0
0,42,93.0
0,42,112.0
0,42,106.0
0,42,135.0
0,42,83.0
0,42,106.0
0,42,91.0
0,42,92.0
0,42,105.0
0,42,109.0
0,42,95.0
0,42,111.0
0,42,118.0
0,42,100.0
0,42,127.0
0,42,111.0
0,42,96.0
0,42,33.0
0,42,36.0
0,42,29.0
0,42,30.0
0,42,43.0
0,42,47.0
0,42,49.0
0,42,53.0
0,42,39.0
0,42,68.0
0,42,42.0
0,42,85.0
0,42,80.0
0,42,71.0
0,42,58.0
0,42,36.0
0,42,58.0
0,42,44.0
0,42,41.0
0,42,96.0
0,42,54.0
0,42,25.0
0,42,52.0
0,42,47.0
0,42,30.0
0,42,26.0
0,42,26.0
0,42,40.0
0,42,67.0
0,42,40.0
0,42,61.0
0,42,44.0
0,42,30.0
0,42,54.0
0,42,46.0
0,42,37.0
0,42,64.0
0,42,41.0
0,42,61.0
0,42,58.0
0,42,52.0
0,42,53.0
0,42,68.0
0,42,67.0
0,42,66.0
0,42,100.0
0,42,85.0
0,42,93.0
0,42,74.0
0,42,89.0
0,42,87.0
0,42,85.0
0,42,75.0
0,42,90.0
0,42,97.0
0,42,102.0
0,42,127.0
0,42,117.0
0,42,103.0
0,42,92.0
0,42,123.0
0,42,82.0
0,42,30.0
0,42,22.0
0,42,27.0
0,42,23.0
0,42,43.0
0,42,56.0
0,42,33.0
0,42,41.0
0,42,45.0
0,42,22.0
0,42,25.0
0,42,42.0
0,42,32.0
0,42,23.0
0,42,30.0
0,42,34.0
0,42,42.0
0,42,48.0
0,42,47.0
0,42,57.0
0,42,54.0
0,42,58.0
0,42,73.0
0,42,79.0
0,42,69.0
0,42,48.0
0,42,65.0
0,42,55.0
0,42,70.0
0,42,56.0
0,42,60.0
0,42,70.0
0,42,61.0
0,42,56.0
0,42,86.0
0,42,62.0
0,42,63.0
0,42,53.0
0,42,50.0
0,42,64.0
0,42,87.0
0,42,75.0
0,42,78.0
0,42,65.0
0,42,63.0
0,42,79.0
0,42,90.0
0,42,72.0
0,42,81.0
0,42,55.0
0,42,56.0
0,42,79.0
0,42,32.0
0,42,24.0
0,42,21.0
0,42,22.0
0,42,27.0
0,42,35.0
0,42,26.0
0,42,29.0
0,42,29.0
0,42,22.0
0,42,26.0
0,42,30.0
0,42,36.0
0,42,14.0
0,42,61.0
0,42,65.0
0,42,22.0
0,42,48.0
0,42,61.0
0,42,22.0
0,42,13.0
0,42,15.0
0,42,24.0
0,42,16.0
0,42,20.0
0,42,18.0
0,42,20.0
0,42,25.0
0,42,56.0
0,42,27.0
0,42,11.0
0,42,32.0
0,42,34.0
0,42,22.0
0,42,24.0
0,42,36.0
0,42,31.0
0,42,19.0
0,42,21.0
0,42,11.0
0,42,19.0
0,42,35.0
0,42,17.0
0,42,21.0
0,42,25.0
0,42,18.0
0,42,31.0
0,42,38.0
0,42,49.0
0,42,29.0
0,42,60.0
0,42,21.0
0,42,48.0
0,42,12.0
0,42,29.0
0,42,48.0
0,42,32.0
0,42,28.0
0,42,56.0
0,42,20.0
0,42,14.0
0,42,19.0
0,42,38.0
0,42,21.0
0,42,16.0
0,42,33.0
0,42,11.0
0,42,36.0
0,42,48.0
0,42,27.0
0,42,60.0
0,42,14.0
0,42,21.0
0,42,20.0
0,42,25.0
0,42,45.0
0,42,27.0
0,42,20.0
0,42,19.0
0,42,20.0
0,42,11.0
0,42,22.0
0,42,20.0
0,42,25.0
0,42,22.0
0,42,17.0
0,42,17.0
0,42,12.0
0,42,27.0
0,42,22.0
0,42,33.0
0,42,17.0
0,42,24.0
0,42,16.0
0,42,37.0
0,42,29.0
0,42,33.0
0,42,35.0
0,42,37.0
0,42,29.0
0,42,14.0
0,42,28.0
0,42,34.0
0,42,21.0
0,42,23.0
0,42,32.0
0,42,30.0
0,42,30.0
0,42,31.0
0,42,52.0
0,42,12.0
0,42,17.0
0,42,20.0
0,42,24.0
0,42,20.0
0,42,22.0
0,42,13.0
0,42,16.0
0,42,48.0
0,42,25.0
0,42,58.0
0,42,22.0
0,42,45.0
0,42,34.0
0,42,30.0
0,42,28.0
0,42,34.0
0,42,53.0
0,42,19.0
0,42,19.0
0,42,29.0
0,42,40.0
0,42,13.0
0,42,50.0
0,42,48.0
0,42,44.0
0,42,52.0
0,42,34.0
0,42,46.0
0,42,29.0
0,42,57.0
0,42,45.0
0,42,36.0
0,42,24.0
0,42,14.0
0,42,21.0
0,42,36.0
0,42,16.0
0,42,25.0
0,42,43.0
0,42,22.0
0,42,41.0
0,42,29.0
0,42,17.0
0,42,18.0
0,42,24.0
0,42,24.0
0,42,13.0
0,42,19.0
0,42,19.0
0,42,14.0
0,42,18.0
0,42,22.0
0,42,29.0
0,42,22.0
0,42,16.0
0,42,29.0
0,42,18.0
0,42,40.0
0,42,14.0
0,42,17.0
0,42,24.0
0,42,17.0
0,42,24.0
0,42,20.0
0,42,17.0
0,42,43.0
0,42,28.0
0,42,22.0
0,42,17.0
0,42,26.0
0,42,26.0
0,42,38.0
0,42,19.0
0,42,58.0
0,42,26.0
0,42,14.0
0,42,19.0
0,42,18.0
0,42,23.0
0,42,31.0
0,42,13.0
0,42,28.0
0,42,13.0
0,42,32.0
0,42,22.0
0,42,15.0
0,42,28.0
0,42,16.0
0,42,31.0
0,42,32.0
0,42,44.0
0,42,47.0
0,42,69.0
0,42,14.0
0,42,20.0
0,42,23.0
0,42,17.0
0,42,21.0
0,42,16.0
0,42,19.0
0,42,23.0
0,42,18.0
0,42,41.0
0,42,18.0
0,42,37.0
0,42,25.0
0,42,34.0
0,42,21.0
0,42,18.0
0,42,15.0
0,42,20.0
0,42,47.0
0,42,26.0
0,42,21.0
0,42,28.0
0,42,32.0
0,42,14.0
0,42,13.0
0,42,15.0
0,42,26.0
0,42,12.0
0,42,35.0
0,42,21.0
0,42,37.0
0,42,14.0
0,42,13.0
0,42,15.0
0,42,31.0
0,42,20.0
0,42,20.0
0,42,18.0
0,42,35.0
0,42,29.0
0,42,27.0
0,42,20.0
0,42,31.0
0,42,17.0
0,42,24.0
0,42,39.0
0,42,51.0
0,42,24.0
0,42,22.0
0,42,21.0
0,42,21.0
0,42,46.0
0,42,21.0
0,42,21.0
0,42,33.0
0,42,22.0
0,42,17.0
0,42,28.0
0,42,31.0
0,42,15.0
0,42,30.0
0,42,31.0
0,42,17.0
0,42,25.0
0,42,23.0
0,42,26.0
0,42,32.0
0,42,25.0
0,42,36.0
0,42,22.0
0,42,17.0
0,42,25.0
0,42,26.0
0,42,22.0
0,42,21.0
0,42,23.0
0,42,31.0
0,42,20.0
0,42,28.0
0,42,29.0
0,42,23.0
0,42,29.0
0,42,33.0
0,42,13.0
0,42,23.0
0,42,21.0
0,42,21.0
0,42,22.0
0,42,22.0
0,42,41.0
0,42,13.0
0,42,18.0
0,42,14.0
0,42,27.0
0,42,12.0
0,42,15.0
0,42,14.0
0,42,19.0
0,42,23.0
0,42,14.0
0,42,28.0
0,42,15.0
0,42,13.0
0,42,20.0
0,42,24.0
0,42,26.0
0,42,28.0
0,42,14.0
0,42,13.0
0,42,19.0
0,42,13.0
0,42,30.0
0,42,12.0
0,42,20.0
0,42,16.0
0,42,19.0
0,42,17.0
0,42,15.0
0,42,12.0
0,42,20.0
0,42,19.0
0,42,23.0
0,42,28.0
0,42,32.0
0,42,23.0
0,42,49.0
0,42,19.0
0,42,21.0
0,42,32.0
0,42,29.0
0,42,21.0
0,42,20.0
0,42,17.0
0,42,22.0
0,42,15.0
0,42,26.0
0,42,32.0
0,42,28.0
0,42,23.0
0,42,21.0
0,42,37.0
0,42,53.0
0,42,37.0
0,42,58.0
0,42,48.0
0,42,60.0
0,42,37.0
0,42,66.0
0,42,62.0
0,42,75.0
0,42,30.0
0,42,26.0
0,42,57.0
0,42,46.0
0,42,32.0
0,42,31.0
0,42,35.0
0,42,34.0
0,42,48.0
0,42,37.0
0,42,25.0
0,42,27.0
0,42,18.0
0,42,11.0
0,42,30.0
0,42,29.0
0,42,33.0
0,42,33.0
0,42,18.0
0,42,37.0
0,42,20.0
0,42,16.0
0,42,20.0
0,42,15.0
0,42,21.0
0,42,23.0
0,42,28.0
0,42,16.0
0,42,27.0
0,42,20.0
0,42,11.0
0,42,21.0
0,42,20.0
0,42,20.0
0,42,17.0
0,42,20.0
0,42,21.0
0,42,22.0
0,42,29.0
0,42,14.0
0,42,46.0
0,42,17.0
0,42,20.0
0,42,29.0
0,42,35.0
0,42,21.0
0,42,21.0
0,42,20.0
0,42,20.0
0,42,20.0
0,42,39.0
0,42,22.0
0,42,15.0
0,42,36.0
0,42,29.0
0,42,22.0
0,42,18.0
0,42,27.0
0,42,16.0
0,42,24.0
0,42,14.0
0,42,16.0
0,42,15.0
0,42,16.0
0,42,22.0
0,42,23.0
0,42,16.0
0,42,45.0
0,42,42.0
0,42,24.0
0,42,19.0
0,42,17.0
0,42,34.0
0,42,27.0
0,42,34.0
0,42,15.0
0,42,14.0
0,42,15.0
0,42,24.0
0,42,22.0
0,42,19.0
0,42,18.0
0,42,23.0
0,42,15.0
0,42,23.0
0,42,20.0
0,42,17.0
0,42,19.0
0,42,12.0
0,42,17.0
0,42,15.0
0,42,26.0
0,42,12.0
0,42,24.0
0,42,21.0
0,42,28.0
0,42,39.0
0,42,29.0
0,42,19.0
0,42,17.0
0,42,13.0
0,42,14.0
0,42,20.0
0,42,28.0
0,42,16.0
0,42,15.0
0,42,28.0
0,42,30.0
0,42,25.0
0,42,13.0
0,42,28.0
0,42,44.0
0,42,28.0
0,42,29.0
0,42,41.0
0,42,40.0
0,42,19.0
0,42,25.0
0,42,25.0
0,42,23.0
0,42,25.0
0,42,15.0
0,42,47.0
0,42,15.0
0,42,18.0
0,42,21.0
0,42,25.0
0,42,16.0
0,42,29.0
0,42,26.0
0,42,26.0
0,42,18.0
0,42,16.0
0,42,22.0
0,42,17.0
0,42,15.0
0,42,16.0
0,42,18.0
0,42,13.0
0,42,40.0
0,42,23.0
0,42,20.0
0,42,17.0
0,42,25.0
0,42,50.0
0,42,22.0
0,42,23.0
0,42,17.0
0,42,18.0
0,42,25.0
0,42,20.0
0,42,20.0
0,42,15.0
0,42,20.0
0,42,33.0
0,42,11.0
0,42,26.0
0,42,18.0
0,42,22.0
0,42,24.0
0,42,17.0
0,42,28.0
0,42,21.0
0,42,27.0
0,42,24.0
0,42,35.0
0,42,41.0
0,42,40.0
0,42,26.0
0,42,19.0
0,42,38.0
0,42,18.0
0,42,22.0
0,42,24.0
0,42,23.0
0,42,38.0
0,42,23.0
0,42,40.0
0,42,29.0
0,42,33.0
0,42,33.0
0,42,32.0
0,42,20.0
0,42,23.0
0,42,16.0
0,42,27.0
0,42,17.0
0,42,36.0
0,42,15.0
0,42,13.0
0,42,24.0
0,42,19.0
0,42,18.0
0,42,37.0
0,42,29.0
0,42,25.0
0,42,20.0
0,42,20.0
0,42,18.0
0,42,17.0
0,42,15.0
0,42,19.0
0,42,16.0
0,42,30.0
0,42,16.0
0,42,25.0
0,42,15.0
0,42,14.0
0,42,16.0
0,42,24.0
0,42,21.0
0,42,12.0
0,42,21.0
0,42,49.0
0,42,33.0
0,42,35.0
0,42,16.0
0,42,25.0
0,42,27.0
0,42,43.0
0,42,32.0
0,42,28.0
0,42,26.0
0,42,29.0
0,42,19.0
0,42,32.0
0,42,37.0
0,42,17.0
0,42,21.0
0,42,39.0
0,42,28.0
0,42,21.0
0,42,42.0
0,42,22.0
0,42,23.0
0,42,26.0
0,42,18.0
0,42,38.0
0,42,13.0
0,42,17.0
0,42,40.0
0,42,13.0
0,42,21.0
0,42,49.0
0,42,26.0
0,42,22.0
0,42,25.0
0,42,40.0
0,42,22.0
0,42,30.0
0,42,18.0
0,42,49.0
0,42,29.0
0,42,33.0
0,42,43.0
0,42,21.0
0,42,29.0
0,42,28.0
0,42,39.0
0,42,24.0
0,42,32.0
0,42,24.0
0,42,27.0
0,42,14.0
0,42,44.0
0,42,28.0
0,42,35.0
0,42,22.0
0,42,21.0
0,42,25.0
0,42,22.0
0,42,14.0
0,42,33.0
0,42,33.0
0,42,23.0
0,42,15.0
0,42,63.0
0,42,30.0
0,42,18.0
0,42,14.0
0,42,23.0
0,42,19.0
0,42,20.0
0,42,22.0
0,42,28.0
0,42,11.0
0,42,35.0
0,42,12.0
0,42,22.0
0,42,26.0
0,42,13.0
0,42,17.0
0,42,15.0
0,42,63.0
0,42,11.0
0,42,20.0
0,42,24.0
0,42,31.0
0,42,16.0
0,42,14.0
0,42,13.0
0,42,20.0
0,42,26.0
0,42,21.0
0,42,19.0
0,42,29.0
0,42,14.0
0,42,32.0
0,42,23.0
0,42,22.0
0,42,18.0
0,42,12.0
0,42,26.0
0,42,18.0
0,42,23.0
0,42,11.0
0,42,25.0
0,42,28.0
0,42,28.0
0,42,19.0
0,42,20.0
0,42,44.0
0,42,25.0
0,42,16.0
0,42,17.0
0,42,16.0
0,42,22.0
0,42,17.0
0,42,12.0
0,42,18.0
0,42,27.0
0,42,20.0
0,42,21.0
0,42,20.0
0,42,13.0
0,42,25.0
0,42,26.0
0,42,23.0
0,42,21.0
0,42,29.0
0,42,21.0
0,42,24.0
0,42,31.0
0,42,14.0
0,42,31.0
0,42,29.0
0,42,22.0
0,42,16.0
0,42,19.0
0,42,12.0
0,42,23.0
0,42,24.0
0,42,23.0
0,42,16.0
0,42,24.0
0,42,27.0
0,42,48.0
0,42,14.0
0,42,27.0
0,42,21.0
0,42,13.0
0,42,14.0
0,42,18.0
0,42,15.0
0,42,28.0
0,42,16.0
0,42,54.0
0,42,58.0
0,42,36.0
0,42,16.0
0,42,52.0
0,42,46.0
0,42,15.0
0,42,30.0
0,42,53.0
0,42,15.0
0,42,43.0
0,42,29.0
0,42,20.0
0,42,16.0
0,42,17.0
0,42,27.0
0,42,24.0
0,42,22.0
0,42,21.0
0,42,16.0
0,42,11.0
0,42,24.0
0,42,16.0
0,42,36.0
0,42,26.0
0,42,17.0
0,42,35.0
0,42,12.0
0,42,13.0
0,42,20.0
0,42,19.0
0,42,18.0
0,42,29.0
0,42,20.0
0,42,29.0
0,42,14.0
0,42,20.0
0,42,29.0
0,42,19.0
0,42,25.0
0,42,31.0
0,42,17.0
0,42,23.0
0,42,19.0
0,42,13.0
0,42,23.0
0,42,17.0
0,42,26.0
0,42,19.0
0,42,22.0
0,42,25.0
0,42,23.0
0,42,15.0
0,42,18.0
0,42,13.0
0,42,16.0
0,42,17.0
0,42,26.0
0,42,25.0
0,42,27.0
0,42,25.0
0,42,40.0
0,42,25.0
0,42,34.0
0,42,20.0
0,42,29.0
0,42,23.0
0,42,25.0
0,42,18.0
0,42,23.0
0,42,48.0
0,42,11.0
0,42,18.0
0,42,23.0
0,42,11.0
0,42,16.0
0,42,33.0
0,42,26.0
0,42,23.0
0,42,30.0
